,created_at,device_type,end_time,fitness_discipline,has_pedaling_metrics,has_leaderboard_metrics,id,is_total_work_personal_record,is_outdoor,metrics_type,name,peloton_id,platform,start_time,status,timezone,title,total_work,user_id,workout_type,total_video_watch_time_seconds,total_video_buffering_seconds,v2_total_video_watch_time_seconds,v2_total_video_buffering_seconds,total_music_audio_play_seconds,total_music_audio_buffer_seconds,created,device_time_created_at,strava_id,fitbit_id,effort_zones,service_id,ride.id,ride.is_archived,ride.title,ride.scheduled_start_time,ride.duration,ride.instructor.name,ride.instructor.image_url
0,1672001249,home_bike_v1,1672003252,cycling,True,False,8c78b8c1fbff4ecfa2fa11a16b4517e6,False,False,cycling,Cycling Workout,,home_bike,1672001251,COMPLETE,America/New_York,33 min Just Ride,11683.74,c79c34efae2c4669a07c935df1aeb988,freestyle,0,0,,,,,1672001249,1671983249,,,,,00000000000000000000000000000000,False,33 min Just Ride,1672001249.0,2001.0,JUST RIDE,https://s3.amazonaws.com/peloton-ride-images/just-ride-indoor.png
1,1671990054,home_bike_v1,1671991059,cycling,True,True,495689860fbe4ae68af07b473fac6467,False,False,cycling,Scenic Ride,061a3be8b5fb4116be53c2b3a4aa18c8,home_bike,1671990069,COMPLETE,Etc/GMT+5,,50971.72,c79c34efae2c4669a07c935df1aeb988,scenic,0,0,1001.0,1.0,,,1671990054,1671972054,,,,,,,,,,,
2,1671989677,home_bike_v1,1671989923,cycling,True,False,e555ad34c5f64ae28146a7db40a134bd,False,False,cycling,Cycling Workout,,home_bike,1671989678,COMPLETE,America/New_York,4 min Just Ride,20223.8,c79c34efae2c4669a07c935df1aeb988,freestyle,0,0,,,,,1671989677,1671971677,,,,,00000000000000000000000000000000,False,4 min Just Ride,1671989677.0,245.0,JUST RIDE,https://s3.amazonaws.com/peloton-ride-images/just-ride-indoor.png
3,1671978711,home_bike_v1,1671979928,cycling,True,True,df8969e50bc74a51bc9c249f97984604,False,False,cycling,Cycling Workout,140b30ede264488ca93d16598c7838d1,home_bike,1671978730,COMPLETE,Etc/GMT+5,,56736.49,c79c34efae2c4669a07c935df1aeb988,class,0,0,1365.0,1.0,,,1671978711,1671960711,,,,,,,,,,,
4,1671970749,iPhone,1671971118,meditation,False,False,7cc458f6f480422dbf774d4a86a05c41,False,False,,Meditation Workout,b78a80209aac44a7941cc2b57fdb2abe,iOS_app,1671970780,COMPLETE,America/New_York,,0.0,c79c34efae2c4669a07c935df1aeb988,class,0,0,359.0,0.0,,,1671970749,1671952749,,,,,,,,,,,
5,1671891657,home_bike_v1,1671892917,cycling,True,True,6e5b75c0addd401ba0206cc834e75722,False,False,cycling,Cycling Workout,3f43ea17fb0d422f84c2b6b0946423cb,home_bike,1671891718,COMPLETE,Etc/GMT+5,,88730.25,c79c34efae2c4669a07c935df1aeb988,class,0,0,1350.0,0.0,,,1671891657,1671873657,,,,,,,,,,,
6,1671549474,home_bike_v1,1671550734,cycling,True,True,6027c22fa8d1401f827fa9aa635b9271,False,False,cycling,Cycling Workout,008950bb28fa41b185332f261e69fe50,home_bike,1671549535,COMPLETE,Etc/GMT+5,,92415.42,c79c34efae2c4669a07c935df1aeb988,class,0,0,1349.0,1.0,,,1671549474,1671531474,,,,,,,,,,,
7,1671145008,home_bike_v1,1671145667,cycling,True,True,b05e2500b4ee495997a0444d492c35f3,True,False,cycling,Cycling Workout,4439bbc7562a449081dd7a190a4c976f,home_bike,1671145069,COMPLETE,Etc/GMT+5,,22633.07,c79c34efae2c4669a07c935df1aeb988,class,0,0,676.0,1.0,,,1671145008,1671127008,,,,,,,,,,,
8,1670783318,home_bike_v1,1670784530,cycling,True,True,ccd72be3377c49cbab70844f4a36e3b3,False,False,cycling,Cycling Workout,8041fbeec4cd47f48ce2f58cb98eba18,home_bike,1670783332,COMPLETE,Etc/GMT+5,,100904.06,c79c34efae2c4669a07c935df1aeb988,class,0,0,1379.0,1.0,,,1670783318,1670765318,,,,,,,,,,,
9,1670366342,home_bike_v1,1670367601,cycling,True,True,ce200f54cb7e4466b267cbcb152ef46a,False,False,cycling,Cycling Workout,06b71ae352ca46709f1369ea00bff028,home_bike,1670366404,COMPLETE,Etc/GMT+5,,97816.24,c79c34efae2c4669a07c935df1aeb988,class,0,0,1349.0,1.0,,,1670366342,1670348342,,,,,,,,,,,
